id_deputado,nome_completo,sexo,uf,partido_atual,profissao,eleicao_ocupacao,eleicao_grau_instrucao,eleicao_partido,situacao,data_nascimento,data_falecimento,ano_inicio,data_saida,soma_documento,soma_glosa,soma_liquido
73792,Werner Wanderer,,PR,PFL,436,,,,,,,1991,,0,0,0
73793,Edson Bez De Oliveira,M,SC,PMDB,21,303,Superior completo,PMDB,E,1950-03-06,,1995,,1571920.9500000058,8990.61,1562819.340000007
73794,Edison Adrião Andrino De Oliveira,,SC,PMDB,436,,,,,,,1991,,0,0,0
73795,Hugo Biehl,,SC,PPB,436,,,,,,,1991,,0,0,0
73801,Renildo Vasconcelos Calheiros,M,PE,PCDOB,399,,,,V,1959-04-20,,1991,,0,0,0
73805,Roberto João Pereira Freire,M,SP,PPS,199,199,Superior completo,PPS,E,1942-04-20,,1991,,772213.9699999966,9467.990000000009,754733.5999999979
73808,Sérgio Luís Lacerda Brito,M,BA,PSD,381,26,Superior completo,PSC,E,1961-06-08,,1991,2011-10-26,1419704.0399999993,26170.820000000014,1386664.13
73809,Uldurico Alves Pinto,M,BA,PHS,196,196,Superior completo,PHS,E,1953-01-14,,1991,2009-10-29,667890.1399999968,12002.759999999998,655887.3799999969
73817,Antonio Ferreira Da Cruz Filho,M,MS,PP,196,196,Superior completo,PP,E,1949-12-05,,1999,,562320.3000000017,2745.7200000000007,559574.5800000017
73825,Carlos Frederico Theodoro Nader,,RJ,PFL,436,,,,,,,1999,,0,0,0
73827,Edmundo Galdino,,TO,PSDB,436,,,,,,,1991,,0,0,0
73828,Dr. Gomes,,AM,PFL,436,,,,,,,1999,,0,0,0
73829,Paulo Lessa,,RJ,PPB,436,,,,,,,1999,,0,0,0
73832,Crescêncio Pereira Jr. E Outros,,CE,PFL,436,,,,,,,1999,,0,0,0
73873,João Batista Matos,M,SC,PMDB,192,,,,E,1948-01-08,,1995,,548457.7299999988,7831.539999999992,540626.189999999
73874,João Alberto Pizzolatti Júnior,M,SC,PP,153,26,Superior completo,PP,E,1961-10-31,,1995,,1190368.410000009,7342.769999999997,1182897.3500000085
73875,José Carlos Vieira,M,SC,PR,0,397,Superior completo,PR,S,1953-05-27,,1995,2009-10-13,301843.6899999994,281.81,301561.87999999936
73876,Jose Fritsch,,SC,PT,436,,,,,,,1995,,0,0,0
73882,Paulo Roberto Bauer,M,SC,PSDB,245,,,,E,1957-03-20,,1991,,128374.2600000001,2067.99,126306.27000000006
73883,Paulo Roberto Barreto Bornhausen,M,SC,PSB,199,26,Superior completo,DEM,E,1963-09-19,,1995,2011-10-26,645320.2300000032,3154.690000000001,642165.5400000039
73884,Paulo Gilberto Gouvêa Da Costa,,SC,PFL,436,,,,,,,1995,,0,0,0
73885,Antônio Serafim Venzon,,SC,PDT,436,,,,,,,1995,,0,0,0
73886,Adão Pretto,M,RS,PT,189,,,,V,1945-12-18,2009-02-05,1991,,0,0,0
73888,Airton Dipp,,RS,PDT,436,,,,,,,1995,,0,0,0
73889,João Augusto Ribeiro Nardes,,RS,PPB,436,,,,,,,1995,,0,0,0
73891,Darcísio Paulo Perondi,M,RS,PMDB,196,26,Superior completo,PMDB,E,1947-04-02,,1995,,1830171.1799999946,30777.61999999998,1790893.5599999935
73892,Eliseu Lemos Padilha,M,RS,PMDB,199,26,Superior completo,PMDB,E,1945-12-23,,1995,,1150749.8999999997,6408.280000000001,1104941.6200000015
73893,Enio Egon Bergmann Bacci,M,RS,PDT,199,199,Superior completo,PDT,E,1958-09-19,,1995,,1588383.8999999932,17345.149999999994,1571038.749999994
73894,Esther Grossi,,RS,PT,436,,,,,,,1995,,0,0,0
73895,Ezidio Pinheiro,,RS,PSB,436,,,,,,,1995,,0,0,0
